id,title
18459228,Japanese
16578693,Burger
16582093,Japanese
16582093, Ramen
16572614,Japanese
16583860,Italian
16585398,Burger
16585398, Soul Food
16585398, American
16586519,Asian
16586519, Dumplings
18151501,Kebab
16573421,Australian
16574895,Thai
16582069,Thai
16581860,Japanese
16581860, Ramen
16573690,Cafe
16573690, Desserts
16578905,Cafe
16578905, Coffee and Tea
16582535,Italian
16571855,Asian
16571855, Fusion
16581234,European
16573045,Cafe
16573045, Modern Australian
16573997,Asian
16573997, Sushi
16576227,Cafe
16576227, Modern Australian
16574213,Drinks Only
16581286,Drinks Only
16582959,Japanese
16582959, Ramen
16585202,Cafe
16585202, Italian
16585202, Ice Cream
16578981,Bakery
16578981, Sandwich
16580351,Italian
16580351, Mediterranean
16580351, Pizza
16577891,Cafe
16577891, Coffee and Tea
16577037,Asian
16577037, Chinese
16575398,Chinese
17849548,Japanese
16573509,Indian
16579515,Italian
16579515, Pizza
16583694,Italian
16583694, Pizza
16579134,Cafe
16580125,Italian
16585224,Indian
16571314,Modern Australian
16571314, Cafe
16577906,Korean
16583252,Fish and Chips
16583252, Burger
16575251,Italian
16575251, Pizza
16577635,Spanish
16577635, Tapas
16573451,BBQ
16573451, Steak
16573451, Modern Australian
18025015,Bakery
18025015, Sandwich
16579715,Cafe
16579715, Coffee and Tea
16585258,Chinese
16585258, Malaysian
16576543,Dumplings
16576543, Chinese
16581706,Asian
16581706, Fast Food
16578072,Italian
16583161,Italian
16583381,Cafe
16711271,Cafe
16584750,Italian
16584750, Pizza
16572407,European
16572407, Modern Australian
16577850,Italian
16573532,Seafood
16583999,Cafe
16583999, Coffee and Tea
16583999, Modern Australian
16574077,Cafe
16574077, Coffee and Tea
16572460,Japanese
16576518,Italian
16573971,Japanese
16573971, Sushi
16575423,BBQ
16575423, Chinese
16578304,Desserts
16578304, Cafe
16576519,Fish and Chips
16575506,Asian
16575506, Malaysian
16570836,Australian
16570836, International
16578416,Pub Food
16578416, Modern Australian
16579467,Australian
16579467, Cafe
16582452,Desserts
16711533,Japanese
16711533, Sushi
16572857,Cafe
16572857, Coffee and Tea
16573896,Cafe
16573896, Mediterranean
16575471,Cafe
16575471, Bakery
16575471, Coffee and Tea
16571267,Pizza
16572054,BBQ
16572054, Chinese
16572054, Seafood
16577961,Pizza
16577961, Italian
16580241,Italian
16580241, Pizza
16581388,BBQ
16581388, American
16581621,Italian
16586375,Bar Food
