,Title,Awards,Wins,Nominations,Bafta_Nominations,Oscar_Nominations,Prime_Nominations,Golden_Globe_Nominations,Bafta_Wins,Oscar_Wins,Prime_Wins,Golden_Globe_Wins
116,Ana y los 7,2 nominations.,0,2,0,0,0,0,0,0,0,0
117,Australians at War,3 wins & 3 nominations.,3,3,0,0,0,0,0,0,0,0
118,American Family,Nominated for 1 Golden Globe. Another 2 wins & 14 nominations.,2,15,0,0,0,1,0,0,0,0
119,Dan Dare; Pilot of the Future,,0,0,0,0,0,0,0,0,0,0
120,The Game of Their Lives: Pro Football's Wonder Years,,0,0,0,0,0,0,0,0,0,0
121,The Ruby Princess Runs Away,2 wins.,2,0,0,0,0,0,0,0,0,0
122,Adam Sandler Goes to Hell,,0,0,0,0,0,0,0,0,0,0
123,La peur du loup,,0,0,0,0,0,0,0,0,0,0
124,Rocky Legends,,0,0,0,0,0,0,0,0,0,0
125,101,,0,0,0,0,0,0,0,0,0,0
126,All About Me,,0,0,0,0,0,0,0,0,0,0
127,Anatomy of a Scene,,0,0,0,0,0,0,0,0,0,0
128,A Cook's Tour,,0,0,0,0,0,0,0,0,0,0
129,Shock Video 2002: America Undercover,,0,0,0,0,0,0,0,0,0,0
130,The Model Solution,,0,0,0,0,0,0,0,0,0,0
131,100% bakvis,,0,0,0,0,0,0,0,0,0,0
132,Alan Keyes Is Making Sense,,0,0,0,0,0,0,0,0,0,0
133,Anarchy Online: The Animated Series,,0,0,0,0,0,0,0,0,0,0
134,Andy Richter Controls the Universe,Nominated for 1 Primetime Emmy. Another 1 nomination.,0,2,0,0,1,0,0,0,0,0
135,Crime and Punishment,3 wins & 1 nomination.,3,1,0,0,0,0,0,0,0,0
136,The Freshmen,,0,0,0,0,0,0,0,0,0,0
137,ECW Guilty as Charged 2001,,0,0,0,0,0,0,0,0,0,0
138,2030 CE,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
139,Ace Lightning,1 nomination.,0,1,0,0,0,0,0,0,0,0
140,Artóza,,0,0,0,0,0,0,0,0,0,0
141,10 minuten,,0,0,0,0,0,0,0,0,0,0
142,4 op 4,,0,0,0,0,0,0,0,0,0,0
143,72 heures,,0,0,0,0,0,0,0,0,0,0
144,Australian Survivor,,0,0,0,0,0,0,0,0,0,0
145,After Midnight,,0,0,0,0,0,0,0,0,0,0
146,Chechen Lullaby,2 wins.,2,0,0,0,0,0,0,0,0,0
147,Aix mélodie,,0,0,0,0,0,0,0,0,0,0
148,All I Want for Christmas,,0,0,0,0,0,0,0,0,0,0
149,Be My Valentine,,0,0,0,0,0,0,0,0,0,0
150,30 by 30: Kid Flicks,1 nomination.,0,1,0,0,0,0,0,0,0,0
151,As If,,0,0,0,0,0,0,0,0,0,0
152,The Bachelor,9 wins & 8 nominations.,9,8,0,0,0,0,0,0,0,0
153,The Enemy Within,,0,0,0,0,0,0,0,0,0,0
154,Chances,,0,0,0,0,0,0,0,0,0,0
155,Zero Tolerance,,0,0,0,0,0,0,0,0,0,0
156,24Seven,,0,0,0,0,0,0,0,0,0,0
157,AFP: American Fighter Pilot,,0,0,0,0,0,0,0,0,0,0
158,Achla Seret,,0,0,0,0,0,0,0,0,0,0
159,Ahava BeCvalim,,0,0,0,0,0,0,0,0,0,0
160,Akros oikogeneiakon,,0,0,0,0,0,0,0,0,0,0
161,Alicia!,,0,0,0,0,0,0,0,0,0,0
162,A Very British Murder,1 win.,1,0,0,0,0,0,0,0,0,0
163,Killing Babies,,0,0,0,0,0,0,0,0,0,0
164,The Show Must Go On,1 win.,1,0,0,0,0,0,0,0,0,0
165,Auge um Auge,,0,0,0,0,0,0,0,0,0,0
166,Broken Wings,15 wins & 4 nominations.,15,4,0,0,0,0,0,0,0,0
167,Salvation,1 win.,1,0,0,0,0,0,0,0,0,0
168,Air Cops,,0,0,0,0,0,0,0,0,0,0
169,High Speed Pursuit: Justice on the Road,,0,0,0,0,0,0,0,0,0,0
170,The Bubble,,0,0,0,0,0,0,0,0,0,0
171,2020; History of the Future,,0,0,0,0,0,0,0,0,0,0
172,Al desnudo,,0,0,0,0,0,0,0,0,0,0
173,At Home with... Fann Wong,,0,0,0,0,0,0,0,0,0,0
174,Identity Lost,,0,0,0,0,0,0,0,0,0,0
175,Mr. Hollywood Star,,0,0,0,0,0,0,0,0,0,0
176,20tantos,,0,0,0,0,0,0,0,0,0,0
177,Absolut das Leben,,0,0,0,0,0,0,0,0,0,0
178,Alle tiders underholdning,,0,0,0,0,0,0,0,0,0,0
179,Anak metropolitan,,0,0,0,0,0,0,0,0,0,0
180,Angelina Ballerina,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
181,Any Time Now,3 wins & 6 nominations.,3,6,0,0,0,0,0,0,0,0
182,Baby Style,,0,0,0,0,0,0,0,0,0,0
183,AFL Sunday,,0,0,0,0,0,0,0,0,0,0
184,The Adventures of Jimmy Neutron: Boy Genius,8 wins & 8 nominations.,8,8,0,0,0,0,0,0,0,0
185,After Hours,2 nominations.,0,2,0,0,0,0,0,0,0,0
186,Aoi Misaki wa yoru mieru,,0,0,0,0,0,0,0,0,0,0
187,Terminal Invasion,,0,0,0,0,0,0,0,0,0,0
188,Andy Warhol: The Complete Picture,,0,0,0,0,0,0,0,0,0,0
189,5th Gear,,0,0,0,0,0,0,0,0,0,0
190,Adventure Inc.,1 nomination.,0,1,0,0,0,0,0,0,0,0
191,Anja,1 win.,1,0,0,0,0,0,0,0,0,0
192,5 Guys; 5 Questions...,,0,0,0,0,0,0,0,0,0,0
193,Agio eihame,,0,0,0,0,0,0,0,0,0,0
194,Aliki,,0,0,0,0,0,0,0,0,0,0
195,Coming Clean,,0,0,0,0,0,0,0,0,0,0
196,Time Crisis II,,0,0,0,0,0,0,0,0,0,0
197,After Upstairs Downstairs,,0,0,0,0,0,0,0,0,0,0
198,Fame; Fashion and Photography: The Real Blow Up,,0,0,0,0,0,0,0,0,0,0
199,30 Seconds to Fame,,0,0,0,0,0,0,0,0,0,0
200,A medias,,0,0,0,0,0,0,0,0,0,0
201,A Conversation with Roy Romer,,0,0,0,0,0,0,0,0,0,0
202,A-ha: Live at Vallhall - Homecoming,,0,0,0,0,0,0,0,0,0,0
203,Hostage,,0,0,0,0,0,0,0,0,0,0
204,Loaded Gun: Life and Death and Dickinson,,0,0,0,0,0,0,0,0,0,0
205,Adoption,,0,0,0,0,0,0,0,0,0,0
206,Alive,,0,0,0,0,0,0,0,0,0,0
207,aHA!,,0,0,0,0,0,0,0,0,0,0
208,Aliens Among Us,,0,0,0,0,0,0,0,0,0,0
209,Thicker Than Water,,0,0,0,0,0,0,0,0,0,0
210,Action Justice,,0,0,0,0,0,0,0,0,0,0
211,The Birthday,1 nomination.,0,1,0,0,0,0,0,0,0,0
212,9 Dead Gay Guys,2 wins.,2,0,0,0,0,0,0,0,0,0
213,30 Minute Meals,1 win & 3 nominations.,1,3,0,0,0,0,0,0,0,0
214,Miss America Pageant,,0,0,0,0,0,0,0,0,0,0
215,Santa vs. the Snowman 3D,1 win.,1,0,0,0,0,0,0,0,0,0
216,Plan B,,0,0,0,0,0,0,0,0,0,0
217,Silent Night,4 nominations.,0,4,0,0,0,0,0,0,0,0
